,,,,,,,,,,,,,,Per Game,,,,,,Shooting,,,,Advanced,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
57,2011,NBA,1,9,CHA,Kemba Walker,21.051,G,us,University of Connecticut,2012,2018,503,34,18.9,3.8,5.4,1.3,0.4,0.414,0.443,0.358,0.831,39.8,0.112
58,2012,NBA,1,9,DET,Andre Drummond,18.327,C,us,University of Connecticut,2013,2018,444,30.2,13.5,13.2,1.1,1.3,1.5,0.546,0.548,0.192,0.415,44.2,0.158
59,2013,NBA,1,9,MIN,Trey Burke,20.232,G,us,University of Michigan,2014,2018,283,24.3,10.6,2.1,3.6,0.6,0.1,0.397,0.432,0.338,0.807,7.1,0.049
60,2014,NBA,1,9,CHH,Noah Vonleh,18.311,F,us,Indiana University,2015,2018,215,15.1,3.9,4.5,0.4,0.3,0.3,0.453,0.474,0.304,0.683,4.8,0.071
61,2015,NBA,1,9,CHO,Frank Kaminsky,22.087,F-C,us,University of Wisconsin,2016,2018,215,23.4,9.8,4.1,1.7,0.5,0.4,0.407,0.456,0.339,0.751,8.1,0.078
62,2016,NBA,1,9,TOR,Jakob Poeltl,20.257,C,at,University of Utah,2017,2018,114,15.2,5.1,3.9,0.4,0.4,0.9,0.631,0.631,0.5,0.576,5.8,0.16
63,2017,NBA,1,9,DAL,Dennis Smith,19.214,G,us,North Carolina State University,2018,2018,54,29.4,14.6,3.9,4.8,1,0.2,0.388,0.431,0.306,0.69,-1,-0.03
64,2011,NBA,1,10,MIL,Jimmer Fredette,22.123,G,us,Brigham Young University,2012,2016,235,13.4,6,1,1.4,0.4,0,0.412,0.432,0.381,0.876,2.4,0.037
65,2012,NBA,1,10,NOH,Austin Rivers,19.336,G,us,Duke University,2013,2018,387,23.7,9.1,2,2.3,0.7,0.2,0.419,0.451,0.354,0.649,7,0.037
66,2013,NBA,1,10,POR,C.J. McCollum,21.287,G,us,Lehigh University,2014,2018,321,28.7,17,2.9,2.8,0.9,0.3,0.455,0.475,0.414,0.847,20.6,0.107
67,2014,NBA,1,10,PHI,Elfrid Payton,20.129,G,us,University of Louisiana at Lafayette,2015,2018,288,29.7,11.3,4.2,6.4,1.4,0.3,0.46,0.482,0.306,0.619,11.9,0.067
68,2015,NBA,1,10,MIA,Justise Winslow,19.095,F,us,Duke University,2016,2018,144,27.6,7,5.2,2,0.9,0.4,0.402,0.428,0.314,0.665,3.8,0.046
69,2016,NBA,1,10,MIL,Thon Maker,19.123,F-C,ss,,2017,2018,118,14,4.6,2.7,0.5,0.3,0.6,0.436,0.49,0.341,0.685,2.9,0.085
70,2017,NBA,1,10,SAC,Zach Collins,19.22,C-F,us,Gonzaga University,2018,2018,46,15.2,4,3.3,0.8,0.3,0.5,0.387,0.426,0.319,0.571,0.4,0.027
